,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
1286,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Physically inactive,22,%,170,37,30.80%,15.20%,171
1287,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Physically inactive,38.5,%,184,71,48.60%,29.20%,174
1288,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,28.5,%,23273,6641,29.10%,27.90%,35307
1289,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,28.1,%,21076,5922,28.70%,27.50%,32633
1290,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,30.8,%,604,186,35.00%,27.00%,830
1291,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,37.4,%,499,187,43.10%,32.10%,455
1292,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,29.7,%,137,41,40.00%,21.20%,132
1293,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,?,%,?,?,?,?,?
1294,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,?,%,?,?,?,?,?
1295,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Physically inactive,29.4,%,137,40,40.30%,20.40%,122
1296,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,51.7,%,18265,9450,52.60%,50.80%,18385
1297,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,51.1,%,16451,8408,52.00%,50.20%,16867
1298,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,46.5,%,384,179,52.90%,40.30%,366
1299,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,57.4,%,340,195,65.20%,49.30%,221
1300,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,54.6,%,166,90,67.60%,40.90%,91
1301,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,?,%,?,?,?,?,?
1302,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,?,%,?,?,?,?,?
1303,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,75+,All,Physically inactive,?,%,?,?,?,?,?
1304,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,16.4,%,65753,10753,16.70%,16.00%,90455
1305,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,15.1,%,51718,7787,15.40%,14.70%,75262
1306,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,16.8,%,4355,734,18.20%,15.60%,5519
1307,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,26,%,3962,1029,28.00%,24.10%,3468
1308,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,23.1,%,1285,297,26.40%,20.10%,1178
1309,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,18.8,%,554,104,23.40%,14.90%,526
1310,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,14.4,%,1166,168,17.30%,11.90%,1042
1311,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,23.1,%,643,148,27.70%,19.00%,626
1312,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,24.2,%,44168,10698,24.80%,23.70%,42837
1313,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,22.9,%,35978,8244,23.50%,22.40%,37095
1314,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,26.5,%,2478,656,29.20%,23.90%,1972
1315,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,34.7,%,2451,851,38.30%,31.30%,1334
1316,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,31.7,%,843,267,37.40%,26.40%,495
1317,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,42.5,%,274,117,53.00%,32.70%,189
1318,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,19.2,%,623,120,25.70%,14.10%,356
1319,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,25.4,%,376,95,33.70%,18.60%,232
1320,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,31.3,%,26415,8270,32.20%,30.40%,17677
1321,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,30.2,%,20316,6133,31.20%,29.20%,14695
1322,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,31.6,%,1980,626,35.60%,27.90%,1021
1323,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,37.9,%,1825,692,42.40%,33.60%,748
1324,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,34.7,%,638,221,41.80%,28.20%,292
1325,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,?,%,?,?,?,?,?
1326,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,20.5,%,425,87,27.70%,14.70%,195
1327,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,41.4,%,262,109,51.90%,31.70%,138
1328,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,37.9,%,6936,2628,40.00%,35.90%,3572
1329,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,34.9,%,4280,1492,37.30%,32.50%,2416
1330,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,33.5,%,262,88,44.90%,23.70%,152
1331,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,43.3,%,1246,539,48.70%,38.00%,478
1332,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,42.3,%,362,153,52.10%,33.00%,151
1333,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,?,%,?,?,?,?,?
1334,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,?,%,?,?,?,?,?
1335,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,48.1,%,210,101,62.20%,34.20%,89
1336,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,20.8,%,24196,5027,21.70%,19.90%,12806
1337,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,18.5,%,15036,2778,19.50%,17.50%,8721
1338,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,16.7,%,1417,237,20.40%,13.60%,679
1339,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,23.9,%,3006,717,27.10%,20.90%,1026
1340,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,23.3,%,1236,288,28.40%,18.80%,448
1341,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,21.8,%,428,93,31.60%,14.40%,155
1342,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,17.2,%,976,167,22.80%,12.70%,332
1343,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,23.9,%,484,115,31.60%,17.50%,201
1344,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,12.5,%,185733,23186,12.70%,12.30%,185732
1345,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,12.4,%,143780,17866,12.70%,12.20%,155056
1346,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,11.2,%,10875,1216,12.10%,10.40%,9709
1347,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,13.8,%,12830,1775,15.00%,12.70%,7275
1348,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,14.4,%,4530,653,16.30%,12.70%,2655
1349,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,13.4,%,1425,191,16.40%,10.90%,975
1350,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,10.5,%,3385,357,12.40%,8.90%,2024
1351,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16+,All,Fairly active,12.9,%,2049,264,15.50%,10.60%,1327
1352,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,11.6,%,90557,10543,12.00%,11.30%,82007
1353,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,11.6,%,69545,8038,11.90%,11.20%,68765
1354,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,10.5,%,5246,549,11.90%,9.20%,3854
1355,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,13.6,%,7084,960,15.30%,12.00%,3470
1356,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,11.3,%,2056,232,14.30%,8.80%,1048
1357,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,11.6,%,685,79,16.20%,8.20%,379
1358,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,8.8,%,1547,137,11.60%,6.70%,779
1359,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Male,16+,All,Fairly active,11.8,%,943,111,15.40%,8.90%,556
1360,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,13.3,%,94778,12597,13.60%,13.00%,103379
1361,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,13.2,%,74058,9805,13.50%,12.90%,86126
1362,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,11.9,%,5614,666,13.00%,10.80%,5841
1363,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,14.2,%,5730,814,15.80%,12.80%,3794
1364,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,16.9,%,2458,415,19.40%,14.60%,1601
1365,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,15.1,%,740,111,19.20%,11.70%,596
1366,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,12.1,%,1818,220,14.80%,9.80%,1238
1367,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,Female,16+,All,Fairly active,13.8,%,1104,153,17.70%,10.70%,769
1368,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,12.8,%,15994,2042,13.40%,12.20%,21553
1369,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,12.7,%,13213,1678,13.40%,12.10%,18670
1370,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,10.7,%,656,70,13.90%,8.10%,834
1371,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,13.7,%,987,135,17.50%,10.60%,732
1372,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,18.6,%,246,46,25.90%,13.00%,255
1373,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1374,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,13.9,%,209,29,22.80%,8.20%,188
1375,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East Midlands,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1376,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,12.8,%,20577,2632,13.40%,12.20%,24874
1377,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,13.1,%,16969,2221,13.70%,12.50%,21084
1378,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,10.3,%,1182,122,12.50%,8.40%,1412
1379,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,10.7,%,812,87,13.80%,8.20%,716
1380,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,9.2,%,356,33,13.50%,6.20%,286
1381,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1382,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,15.9,%,281,45,24.20%,10.10%,248
1383,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1384,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,12.3,%,29027,3576,13.00%,11.70%,17442
1385,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,11.4,%,12738,1458,12.30%,10.60%,9229
1386,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,11.2,%,4108,459,12.80%,9.70%,2620
1387,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,14.3,%,4976,711,16.40%,12.40%,2058
1388,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,15.8,%,2523,400,18.80%,13.30%,1093
1389,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,12.4,%,653,81,17.20%,8.70%,311
1390,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,8.7,%,1258,109,12.10%,6.20%,492
1391,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,London,Country,All,16+,All,Fairly active,12.2,%,960,117,16.60%,8.80%,426
1392,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,11.7,%,9005,1050,12.70%,10.70%,8349
1393,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,11.5,%,8204,945,12.60%,10.60%,7580
1394,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1395,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1396,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1397,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1398,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1399,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1400,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,12.3,%,24297,2990,12.90%,11.80%,26571
1401,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,12.3,%,20498,2529,12.90%,11.80%,22963
1402,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,10.1,%,842,85,12.80%,7.90%,911
1403,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,13.2,%,1322,174,16.30%,10.60%,1028
1404,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,10.8,%,267,29,15.70%,7.20%,261
1405,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1406,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,11.9,%,319,38,18.90%,7.20%,261
1407,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,North West,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1408,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,12.5,%,30321,3800,13.00%,12.10%,34725
1409,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,12.8,%,25067,3207,13.30%,12.30%,29466
1410,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,11.1,%,1698,188,12.80%,9.50%,1962
1411,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,12.2,%,1276,156,14.90%,10.00%,1079
1412,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,9.5,%,362,34,13.70%,6.50%,301
1413,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1414,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,10.6,%,458,48,15.70%,7.00%,336
1415,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South East,Country,All,16+,All,Fairly active,12.6,%,252,32,18.70%,8.30%,208
1416,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,11.7,%,18883,2205,12.30%,11.10%,20556
1417,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,11.5,%,16867,1940,12.20%,10.90%,18736
1418,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,11.2,%,727,81,14.70%,8.40%,730
1419,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1420,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1421,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1422,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1423,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,South West,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
